name,group,year,value,subGroup,city_id,lastValue,lat,lon
Avengers: Endgame,BV,2019,734190353,Avengers: Endgame,BV,0,27.18333,78.01667
Captain Marvel,BV,2019,424157909,Captain Marvel,BV,0,27.18333,78.01667
Us,Uni.,2019,174480100,Us,Uni.,0,27.18333,78.01667
How to Train Your Dragon: The Hidden World,Uni.,2019,160163055,How to Train Your Dragon: The Hidden World,Uni.,0,27.18333,78.01667
Shazam!,WB (NL),2019,137280471,Shazam!,WB (NL),0,27.18333,78.01667
Dumbo (2019),BV,2019,111114772,Dumbo (2019),BV,0,27.18333,78.01667
Glass,Uni.,2019,111035005,Glass,Uni.,0,27.18333,78.01667
The Upside,STX,2019,108252517,The Upside,STX,0,27.18333,78.01667
The LEGO Movie 2: The Second Part,WB,2019,105806508,The LEGO Movie 2: The Second Part,WB,0,27.18333,78.01667
Alita: Battle Angel,Fox,2019,85710210,Alita: Battle Angel,Fox,0,27.18333,78.01667
Tyler Perry's A Madea Family Funeral,LGF,2019,73247731,Tyler Perry's A Madea Family Funeral,LGF,0,27.18333,78.01667
Pokemon Detective Pikachu,WB,2019,63396074,Pokemon Detective Pikachu,WB,0,27.18333,78.01667
Escape Room,Sony,2019,57005601,Escape Room,Sony,0,27.18333,78.01667
What Men Want,Par.,2019,54611903,What Men Want,Par.,0,27.18333,78.01667
Pet Sematary (2019),Par.,2018,54299657,Pet Sematary (2019),Par.,0,27.18333,78.01667
Black Panther,BV,2018,700059566,Black Panther,BV,0,27.18333,78.01667
Avengers: Infinity War,BV,2018,678815482,Avengers: Infinity War,BV,0,27.18333,78.01667
Incredibles 2,BV,2018,608581744,Incredibles 2,BV,0,27.18333,78.01667
Jurassic World: Fallen Kingdom,Uni.,2018,417719760,Jurassic World: Fallen Kingdom,Uni.,0,27.18333,78.01667
Aquaman,WB,2018,335061807,Aquaman,WB,0,27.18333,78.01667
Deadpool 2,Fox,2018,318491426,Deadpool 2,Fox,0,27.18333,78.01667
Dr. Seuss' The Grinch (2018),Uni.,2018,270620950,Dr. Seuss' The Grinch (2018),Uni.,0,27.18333,78.01667
Mission: Impossible - Fallout,Par.,2018,220159104,Mission: Impossible - Fallout,Par.,0,27.18333,78.01667
Ant-Man and the Wasp,BV,2018,216648740,Ant-Man and the Wasp,BV,0,27.18333,78.01667
Bohemian Rhapsody,Fox,2018,216428042,Bohemian Rhapsody,Fox,0,27.18333,78.01667
A Star is Born (2018),WB,2018,215288866,A Star is Born (2018),WB,0,27.18333,78.01667
Solo: A Star Wars Story,BV,2018,213767512,Solo: A Star Wars Story,BV,0,27.18333,78.01667
Venom (2018),Sony,2018,213515506,Venom (2018),Sony,0,27.18333,78.01667
Ralph Breaks the Internet,BV,2018,201091711,Ralph Breaks the Internet,BV,0,27.18333,78.01667
Spider-Man: Into The Spider-Verse,Sony,2018,190241310,Spider-Man: Into The Spider-Verse,Sony,0,27.18333,78.01667
Star Wars: The Last Jedi,BV,2017,620181382,Star Wars: The Last Jedi,BV,0,27.18333,78.01667
Beauty and the Beast (2017),BV,2017,504014165,Beauty and the Beast (2017),BV,0,27.18333,78.01667
Wonder Woman,WB,2017,412563408,Wonder Woman,WB,0,27.18333,78.01667
Jumanji: Welcome to the Jungle,Sony,2017,404515480,Jumanji: Welcome to the Jungle,Sony,0,27.18333,78.01667
Guardians of the Galaxy Vol. 2,BV,2017,389813101,Guardians of the Galaxy Vol. 2,BV,0,27.18333,78.01667
Spider-Man: Homecoming,Sony,2017,334201140,Spider-Man: Homecoming,Sony,0,27.18333,78.01667
It,WB (NL),2017,327481748,It,WB (NL),0,27.18333,78.01667
Thor: Ragnarok,BV,2017,315058289,Thor: Ragnarok,BV,0,27.18333,78.01667
