hui,group,year,value,subGroup,city_id,lastValue,lat,lon
Avengers: Endgame,BV,2019,734190353,Avengers: Endgame,BV,734190353,27.18333,78.01667
Captain Marvel,BV,2019,424157909,Captain Marvel,BV,424157909,27.184,78.017
Us,Uni.,2019,174480100,Us,Uni.,174480100,27.18467,78.01733
How to Train Your Dragon: The Hidden World,Uni.,2019,160163055,How to Train Your Dragon: The Hidden World,Uni.,160163055,27.18534,78.01766
Shazam!,WB (NL),2019,137280471,Shazam!,WB (NL),137280471,27.18601,78.01799
Dumbo (2019),BV,2019,111114772,Dumbo (2019),BV,111114772,27.18668,78.01832
Glass,Uni.,2019,111035005,Glass,Uni.,111035005,27.18735,78.01865
The Upside,STX,2019,108252517,The Upside,STX,108252517,27.18802,78.01898
The LEGO Movie 2: The Second Part,WB,2019,105806508,The LEGO Movie 2: The Second Part,WB,105806508,27.18869,78.01931
Alita: Battle Angel,Fox,2019,85710210,Alita: Battle Angel,Fox,85710210,27.18936,78.01964
Tyler Perry's A Madea Family Funeral,LGF,2019,73247731,Tyler Perry's A Madea Family Funeral,LGF,73247731,27.19003,78.01997
Pokemon Detective Pikachu,WB,2019,63396074,Pokemon Detective Pikachu,WB,63396074,27.1907,78.0203
Escape Room,Sony,2019,57005601,Escape Room,Sony,57005601,27.19137,78.02063
What Men Want,Par.,2019,54611903,What Men Want,Par.,54611903,27.19204,78.02096
Pet Sematary (2019),Par.,2018,54299657,Pet Sematary (2019),Par.,54299657,27.19271,78.02129
Black Panther,BV,2018,700059566,Black Panther,BV,700059566,27.19338,78.02162
Avengers: Infinity War,BV,2018,678815482,Avengers: Infinity War,BV,678815482,27.19405,78.02195
Incredibles 2,BV,2018,608581744,Incredibles 2,BV,608581744,27.19472,78.02228
Jurassic World: Fallen Kingdom,Uni.,2018,417719760,Jurassic World: Fallen Kingdom,Uni.,417719760,27.19539,78.02261
Aquaman,WB,2018,335061807,Aquaman,WB,335061807,27.19606,78.02294
Deadpool 2,Fox,2018,318491426,Deadpool 2,Fox,318491426,27.19673,78.02327
